approach,variant,distance_metric,policy,enrollment_samples,test_accuracy,far,frr,eer,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,balanced_error,roc_auc,notes,far_percent,frr_percent,balanced_error_percent,eer_percent
embedding_based_verification,mean_template_5_enrollment_samples,euclidean,per_user,5,,0.009642156862745,0.2345588235294117,0.0874877450980392,1967,957,4080,204000,0.015,0.825,0.009642156862745,0.2345588235294117,0.1221004901960784,0.9703560661764709,Шаблон построен по ограниченному числу enrollment samples.,0.9642156862744999,23.45588235294117,12.21004901960784,8.74877450980392
embedding_based_verification,mean_template_10_enrollment_samples,euclidean,per_user,10,,0.0091372549019607,0.188235294117647,0.0764632352941176,1864,768,4080,204000,0.01325,0.55,0.0091372549019607,0.188235294117647,0.0986862745098039,0.974436063052672,Шаблон построен по ограниченному числу enrollment samples.,0.91372549019607,18.8235294117647,9.868627450980389,7.6463235294117595
embedding_based_verification,mean_template_20_enrollment_samples,euclidean,per_user,20,,0.0091862745098039,0.1764705882352941,0.0720906862745097,1874,720,4080,204000,0.01375,0.5125,0.0091862745098039,0.176470588235294,0.092828431372549,0.977066649846213,Шаблон построен по ограниченному числу enrollment samples.,0.91862745098039,17.64705882352941,9.282843137254899,7.20906862745097
embedding_based_verification,mean_template_30_enrollment_samples,euclidean,per_user,30,,0.0094754901960784,0.171078431372549,0.0709019607843137,1933,698,4080,204000,0.01375,0.5125,0.0094754901960784,0.171078431372549,0.0902769607843137,0.9777165062716262,Шаблон построен по ограниченному числу enrollment samples.,0.94754901960784,17.1078431372549,9.02769607843137,7.09019607843137
embedding_based_verification,mean_template_50_enrollment_samples,euclidean,per_user,50,,0.0094019607843137,0.1720588235294117,0.0713333333333333,1918,702,4080,204000,0.0145,0.525,0.0094019607843137,0.1720588235294117,0.0907303921568627,0.9775691152441368,Шаблон построен по ограниченному числу enrollment samples.,0.94019607843137,17.20588235294117,9.07303921568627,7.13333333333333
embedding_based_verification,mean_template_full_train_256_samples,euclidean,per_user,256,,0.0094313725490196,0.1681372549019608,,1924,686,4080,204000,0.014,0.5,0.0094313725490196,0.1681372549019608,0.0887843137254902,,Шаблон построен по всем 256 train samples пользователя.,0.9431372549019599,16.81372549019608,8.87843137254902,
embedding_based_verification,mean_template_5_enrollment_samples,manhattan,global,5,,0.0090931372549019,0.3019607843137254,0.073610294117647,1855,1232,4080,204000,0.0415,0.9,0.0090931372549019,0.3019607843137255,0.1555269607843137,0.9776776546280278,Шаблон построен по ограниченному числу enrollment samples.,0.90931372549019,30.19607843137254,15.552696078431369,7.3610294117647
embedding_based_verification,mean_template_10_enrollment_samples,manhattan,global,10,,0.0092156862745098,0.2441176470588235,0.069142156862745,1880,996,4080,204000,0.03475,0.775,0.0092156862745098,0.2441176470588235,0.1266666666666666,0.9796036374231064,Шаблон построен по ограниченному числу enrollment samples.,0.9215686274509799,24.411764705882348,12.666666666666659,6.9142156862745
embedding_based_verification,mean_template_20_enrollment_samples,manhattan,global,20,,0.0087205882352941,0.2289215686274509,0.0634264705882352,1779,934,4080,204000,0.034,0.7125,0.0087205882352941,0.228921568627451,0.1188210784313725,0.9822649647971934,Шаблон построен по ограниченному числу enrollment samples.,0.87205882352941,22.89215686274509,11.88210784313725,6.34264705882352
embedding_based_verification,mean_template_30_enrollment_samples,manhattan,global,30,,0.0089117647058823,0.2269607843137255,0.0639558823529411,1818,926,4080,204000,0.034,0.7,0.0089117647058823,0.2269607843137255,0.1179362745098039,0.982580452830642,Шаблон построен по ограниченному числу enrollment samples.,0.8911764705882299,22.69607843137255,11.79362745098039,6.39558823529411
