enrollment_samples,split,distance_metric,policy,threshold_source,target_far,users_count,samples_count,genuine_trials,impostor_trials,genuine_accepts,genuine_rejects,impostor_accepts,impostor_rejects,far,frr,balanced_error,mean_user_far,mean_user_frr,max_user_far,max_user_frr,guarded_users_count,roc_auc,eer,eer_threshold,far_at_eer_threshold,frr_at_eer_threshold,genuine_distance_mean,impostor_distance_mean,separation_margin
20,test,euclidean,guarded,validation,0.01,51,4080,4080,204000,3118,962,1728,202272,0.008470588235294117,0.2357843137254902,0.12212745098039215,0.008470588235294117,0.23578431372549025,0.0545,0.7375,4,0.977066649846213,0.07209068627450979,9.456096649169922,0.07212254901960784,0.07205882352941173,6.268724779784679,13.082603939885018,6.813879160100339
20,validation,cosine,global,validation,0.01,51,3264,3264,163200,2760,504,1632,161568,0.01,0.15441176470588236,0.08220588235294118,0.01,0.15441176470588236,0.0365625,0.515625,0,0.9856540884966117,0.05918504901960782,0.2562580108642578,0.059240196078431374,0.05912990196078427,0.11108514648296085,0.4730867661911921,0.36200161970823125
20,test,cosine,global,validation,0.01,51,4080,4080,204000,3416,664,1942,202058,0.009519607843137256,0.1627450980392157,0.08613235294117648,0.009519607843137254,0.1627450980392157,0.03575,0.5375,0,0.9854118938629373,0.05789460784313726,0.25518524646759033,0.05794607843137255,0.05784313725490198,0.11192308825020697,0.473956086865535,0.362032998615328
20,validation,cosine,per_user,validation,0.01,51,3264,3264,163200,2811,453,1632,161568,0.01,0.13878676470588236,0.07439338235294118,0.01,0.13878676470588236,0.01,0.4375,0,0.9856540884966117,0.05918504901960782,0.2562580108642578,0.059240196078431374,0.05912990196078427,0.11108514648296085,0.4730867661911921,0.36200161970823125
20,test,cosine,per_user,validation,0.01,51,4080,4080,204000,3484,596,1982,202018,0.009715686274509803,0.14607843137254903,0.07789705882352942,0.009715686274509803,0.146078431372549,0.01375,0.475,0,0.9854118938629373,0.05789460784313726,0.25518524646759033,0.05794607843137255,0.05784313725490198,0.11192308825020697,0.473956086865535,0.362032998615328
20,validation,cosine,guarded,validation,0.01,51,3264,3264,163200,2758,506,1533,161667,0.009393382352941177,0.15502450980392157,0.08220894607843138,0.009393382352941175,0.15502450980392157,0.0365625,0.515625,4,0.9856540884966117,0.05918504901960782,0.2562580108642578,0.059240196078431374,0.05912990196078427,0.11108514648296085,0.4730867661911921,0.36200161970823125
20,test,cosine,guarded,validation,0.01,51,4080,4080,204000,3415,665,1843,202157,0.009034313725490196,0.16299019607843138,0.08601225490196078,0.009034313725490194,0.16299019607843138,0.03575,0.5375,4,0.9854118938629373,0.05789460784313726,0.25518524646759033,0.05794607843137255,0.05784313725490198,0.11192308825020697,0.473956086865535,0.362032998615328
20,validation,manhattan,global,validation,0.01,51,3264,3264,163200,2559,705,1632,161568,0.01,0.21599264705882354,0.11299632352941177,0.01,0.21599264705882354,0.0375,0.65625,0,0.9838146263982002,0.06349877450980396,40.661842346191406,0.06357843137254902,0.06341911764705888,26.285252618146878,57.757656904681056,31.47240428653418
20,test,manhattan,global,validation,0.01,51,4080,4080,204000,3146,934,1779,202221,0.008720588235294117,0.22892156862745097,0.11882107843137255,0.008720588235294117,0.228921568627451,0.034,0.7125,0,0.9822649647971934,0.06342647058823529,40.731624603271484,0.06337254901960784,0.06348039215686274,26.456935542237524,57.98034350590613,31.523407963668603
20,validation,manhattan,per_user,validation,0.01,51,3264,3264,163200,2738,526,1632,161568,0.01,0.16115196078431374,0.08557598039215687,0.01,0.16115196078431374,0.01,0.46875,0,0.9838146263982002,0.06349877450980396,40.661842346191406,0.06357843137254902,0.06341911764705888,26.285252618146878,57.757656904681056,31.47240428653418
20,test,manhattan,per_user,validation,0.01,51,4080,4080,204000,3361,719,1865,202135,0.009142156862745098,0.17622549019607844,0.09268382352941178,0.009142156862745096,0.17622549019607842,0.0175,0.5125,0,0.9822649647971934,0.06342647058823529,40.731624603271484,0.06337254901960784,0.06348039215686274,26.456935542237524,57.98034350590613,31.523407963668603
20,validation,manhattan,guarded,validation,0.01,51,3264,3264,163200,2555,709,1375,161825,0.008425245098039215,0.21721813725490197,0.11282169117647059,0.008425245098039215,0.21721813725490197,0.0321875,0.65625,5,0.9838146263982002,0.06349877450980396,40.661842346191406,0.06357843137254902,0.06341911764705888,26.285252618146878,57.757656904681056,31.47240428653418
20,test,manhattan,guarded,validation,0.01,51,4080,4080,204000,3140,940,1498,202502,0.007343137254901961,0.23039215686274508,0.11886764705882352,0.007343137254901961,0.23039215686274508,0.03225,0.7125,5,0.9822649647971934,0.06342647058823529,40.731624603271484,0.06337254901960784,0.06348039215686274,26.456935542237524,57.98034350590613,31.523407963668603
30,validation,euclidean,global,validation,0.01,51,3264,3264,163200,2549,715,1632,161568,0.01,0.2190563725490196,0.11452818627450981,0.01,0.2190563725490196,0.04,0.640625,0,0.9789981382986711,0.06867953431372548,9.341415405273438,0.06873161764705882,0.06862745098039214,6.162420825411876,12.95897607922554,6.796555253813664
30,test,euclidean,global,validation,0.01,51,4080,4080,204000,3156,924,1889,202111,0.009259803921568627,0.22647058823529412,0.11786519607843138,0.009259803921568626,0.22647058823529417,0.044,0.7125,0,0.9777165062716262,0.07090196078431371,9.403789520263672,0.0712156862745098,0.07058823529411762,6.217124749661661,13.028389224807421,6.8112644751457605
30,validation,euclidean,per_user,validation,0.01,51,3264,3264,163200,2713,551,1632,161568,0.01,0.16881127450980393,0.08940563725490197,0.01,0.16881127450980393,0.01,0.53125,0,0.9789981382986711,0.06867953431372548,9.341415405273438,0.06873161764705882,0.06862745098039214,6.162420825411876,12.95897607922554,6.796555253813664
30,test,euclidean,per_user,validation,0.01,51,4080,4080,204000,3382,698,1933,202067,0.009475490196078431,0.17107843137254902,0.09027696078431373,0.009475490196078431,0.17107843137254905,0.01375,0.5125,0,0.9777165062716262,0.07090196078431371,9.403789520263672,0.0712156862745098,0.07058823529411762,6.217124749661661,13.028389224807421,6.8112644751457605
30,validation,euclidean,guarded,validation,0.01,51,3264,3264,163200,2547,717,1550,161650,0.009497549019607842,0.21966911764705882,0.11458333333333333,0.009497549019607842,0.21966911764705882,0.04,0.640625,2,0.9789981382986711,0.06867953431372548,9.341415405273438,0.06873161764705882,0.06862745098039214,6.162420825411876,12.95897607922554,6.796555253813664
