threshold,far,frr,abs_far_frr_delta
0.27,0.003588235294117647,0.10416666666666667,0.10057843137254903
0.271,0.0035686274509803924,0.10416666666666667,0.10059803921568627
0.272,0.00353921568627451,0.10441176470588236,0.10087254901960785
0.273,0.003514705882352941,0.1053921568627451,0.10187745098039215
0.274,0.0034901960784313726,0.10563725490196078,0.10214705882352941
0.275,0.0034656862745098037,0.10661764705882353,0.10315196078431373
0.276,0.003446078431372549,0.10661764705882353,0.10317156862745097
0.277,0.0034264705882352943,0.10686274509803921,0.10343627450980392
0.278,0.0034068627450980393,0.10686274509803921,0.10345588235294118
0.279,0.0033627450980392155,0.10686274509803921,0.1035
0.28,0.003338235294117647,0.10759803921568628,0.10425980392156864
0.281,0.0033333333333333335,0.10833333333333334,0.10500000000000001
0.28200000000000003,0.003303921568627451,0.10857843137254902,0.10527450980392157
0.28300000000000003,0.0032892156862745097,0.10955882352941176,0.10626960784313726
0.28400000000000003,0.0032647058823529413,0.10980392156862745,0.1065392156862745
0.28500000000000003,0.00325,0.11004901960784313,0.10679901960784313
0.28600000000000003,0.0032254901960784314,0.11029411764705882,0.10706862745098039
0.28700000000000003,0.0032107843137254904,0.11029411764705882,0.10708333333333334
0.28800000000000003,0.0031862745098039215,0.1105392156862745,0.10735294117647058
0.289,0.0031862745098039215,0.1105392156862745,0.10735294117647058
0.29,0.0031519607843137256,0.11102941176470588,0.10787745098039216
0.291,0.0031274509803921567,0.11127450980392156,0.1081470588235294
0.292,0.0031078431372549018,0.11200980392156863,0.10890196078431373
0.293,0.003088235294117647,0.11274509803921569,0.10965686274509805
0.294,0.003073529411764706,0.11274509803921569,0.10967156862745098
0.295,0.003053921568627451,0.11274509803921569,0.10969117647058824
0.296,0.0030441176470588235,0.11299019607843137,0.10994607843137255
0.297,0.00303921568627451,0.11348039215686274,0.11044117647058824
0.298,0.003014705882352941,0.11372549019607843,0.11071078431372548
0.299,0.0030098039215686275,0.11372549019607843,0.1107156862745098
0.3,0.0029852941176470586,0.1142156862745098,0.11123039215686274
0.301,0.0029656862745098037,0.1142156862745098,0.11125
0.302,0.0029411764705882353,0.11470588235294117,0.11176470588235293
0.303,0.0029215686274509803,0.11519607843137254,0.11227450980392156
0.304,0.0029068627450980393,0.1161764705882353,0.11326960784313726
0.305,0.002892156862745098,0.1161764705882353,0.1132843137254902
0.306,0.0028872549019607844,0.11642156862745098,0.1135343137254902
0.307,0.002872549019607843,0.11715686274509804,0.1142843137254902
0.308,0.002872549019607843,0.11715686274509804,0.1142843137254902
0.309,0.0028480392156862745,0.11715686274509804,0.11430882352941177
0.31,0.002838235294117647,0.11715686274509804,0.1143186274509804
0.311,0.0028284313725490196,0.11715686274509804,0.11432843137254901
0.312,0.002823529411764706,0.11862745098039215,0.11580392156862744
0.313,0.002823529411764706,0.11887254901960784,0.11604901960784313
